directive_title,directive_type,brand_code,status
Clicks Testimonial CTA,goal,PDS,Done
Clicks Testimonial CTA,goal,RBW,Done
Clicks Testimonial CTA,goal,MLY,To do
Clicks Testimonial CTA,goal,FSP,Done
Clicks Testimonial CTA,goal,GUY,To do
Clicks Testimonial CTA,goal,JUK,To do
Clicks Testimonial CTA,goal,MOJ,To do
Clicks Testimonial CTA,goal,MRH,To do
Clicks Testimonial CTA,goal,MRR,To do
Clicks Testimonial CTA,goal,MRR-CA,N/A
Clicks Testimonial CTA,goal,MRE,To do
Clicks Testimonial CTA,goal,SHG,N/A
Clicks Testimonial CTA,goal,WDG,N/A
Clicks Testimonial Scheduler CTA,goal,MRA,Done
Clicks Testimonial Scheduler CTA,goal,ASV,Done
Clicks Testimonial Scheduler CTA,goal,MDG,Done
Clicks Testimonial Scheduler CTA,goal,PDS,Done
Clicks Testimonial Scheduler CTA,goal,RBW,To do
Clicks Testimonial Scheduler CTA,goal,MLY,To do
Clicks Testimonial Scheduler CTA,goal,FSP,Done
Clicks Testimonial Scheduler CTA,goal,GUY,To do
Clicks Testimonial Scheduler CTA,goal,JUK,To do
Clicks Testimonial Scheduler CTA,goal,MOJ,To do
Clicks Testimonial Scheduler CTA,goal,MRH,To do
Clicks Testimonial Scheduler CTA,goal,MRR,To do
Clicks Testimonial Scheduler CTA,goal,MRR-CA,N/A
Clicks Testimonial Scheduler CTA,goal,MRE,To do
Clicks Testimonial Scheduler CTA,goal,SHG,N/A
Clicks Testimonial Scheduler CTA,goal,WDG,N/A
Clicks Warranty CTA,goal,MRA,Done
Clicks Warranty CTA,goal,ASV,Done
Clicks Warranty CTA,goal,MDG,To do
Clicks Warranty CTA,goal,PDS,Done
Clicks Warranty CTA,goal,RBW,To do
Clicks Warranty CTA,goal,MLY,To do
Clicks Warranty CTA,goal,FSP,To do
Clicks Warranty CTA,goal,GUY,To do
Clicks Warranty CTA,goal,JUK,To do
Clicks Warranty CTA,goal,MOJ,To do
Clicks Warranty CTA,goal,MRH,To do
Clicks Warranty CTA,goal,MRR,To do
Clicks Warranty CTA,goal,MRR-CA,N/A
Clicks Warranty CTA,goal,MRE,To do
Clicks Warranty CTA,goal,SHG,N/A
Clicks Warranty CTA,goal,WDG,N/A
Clicks View Special Offers CTA,goal,MRA,Done
Clicks View Special Offers CTA,goal,ASV,To do
Clicks View Special Offers CTA,goal,MDG,To do
Clicks View Special Offers CTA,goal,PDS,To do
Clicks View Special Offers CTA,goal,RBW,Done
Clicks View Special Offers CTA,goal,MLY,To do
Clicks View Special Offers CTA,goal,FSP,To do
Clicks View Special Offers CTA,goal,GUY,To do
Clicks View Special Offers CTA,goal,JUK,To do
Clicks View Special Offers CTA,goal,MOJ,To do
Clicks View Special Offers CTA,goal,MRH,To do
Clicks View Special Offers CTA,goal,MRR,To do
Clicks View Special Offers CTA,goal,MRR-CA,N/A
Clicks View Special Offers CTA,goal,MRE,To do
Clicks View Special Offers CTA,goal,SHG,N/A
Clicks View Special Offers CTA,goal,WDG,N/A
FLF: Views Step 0 | Zip Code,goal,MRA,Done
FLF: Views Step 0 | Zip Code,goal,ASV,N/A
FLF: Views Step 0 | Zip Code,goal,MDG,N/A
FLF: Views Step 0 | Zip Code,goal,PDS,N/A
FLF: Views Step 0 | Zip Code,goal,RBW,N/A
FLF: Views Step 0 | Zip Code,goal,MLY,N/A
FLF: Views Step 0 | Zip Code,goal,FSP,N/A
FLF: Views Step 0 | Zip Code,goal,GUY,N/A
FLF: Views Step 0 | Zip Code,goal,JUK,N/A
FLF: Views Step 0 | Zip Code,goal,MOJ,N/A
FLF: Views Step 0 | Zip Code,goal,MRH,N/A
FLF: Views Step 0 | Zip Code,goal,MRR,N/A
FLF: Views Step 0 | Zip Code,goal,MRR-CA,N/A
FLF: Views Step 0 | Zip Code,goal,MRE,N/A
FLF: Views Step 0 | Zip Code,goal,SHG,N/A
FLF: Views Step 0 | Zip Code,goal,WDG,N/A
FLF: Views Step #1 | Contact Info,goal,MRA,Done
FLF: Views Step #1 | Contact Info,goal,ASV,Done
FLF: Views Step #1 | Contact Info,goal,MDG,Done
FLF: Views Step #1 | Contact Info,goal,PDS,Done
FLF: Views Step #1 | Contact Info,goal,RBW,Done
FLF: Views Step #1 | Contact Info,goal,MLY,To do
FLF: Views Step #1 | Contact Info,goal,FSP,Done
FLF: Views Step #1 | Contact Info,goal,GUY,To do
FLF: Views Step #1 | Contact Info,goal,JUK,To do
FLF: Views Step #1 | Contact Info,goal,MOJ,To do
FLF: Views Step #1 | Contact Info,goal,MRH,To do
FLF: Views Step #1 | Contact Info,goal,MRR,To do
FLF: Views Step #1 | Contact Info,goal,MRR-CA,N/A
FLF: Views Step #1 | Contact Info,goal,MRE,To do
FLF: Views Step #1 | Contact Info,goal,SHG,N/A
FLF: Views Step #1 | Contact Info,goal,WDG,N/A
FLF: Views Step #2 | Service Details,goal,MRA,Done
FLF: Views Step #2 | Service Details,goal,ASV,Done
FLF: Views Step #2 | Service Details,goal,MDG,Done
FLF: Views Step #2 | Service Details,goal,PDS,Done
FLF: Views Step #2 | Service Details,goal,RBW,Done
FLF: Views Step #2 | Service Details,goal,MLY,To do
FLF: Views Step #2 | Service Details,goal,FSP,Done
FLF: Views Step #2 | Service Details,goal,GUY,To do
FLF: Views Step #2 | Service Details,goal,JUK,To do
FLF: Views Step #2 | Service Details,goal,MOJ,To do
FLF: Views Step #2 | Service Details,goal,MRH,To do
FLF: Views Step #2 | Service Details,goal,MRR,To do
FLF: Views Step #2 | Service Details,goal,MRR-CA,N/A
FLF: Views Step #2 | Service Details,goal,MRE,To do
FLF: Views Step #2 | Service Details,goal,SHG,N/A
FLF: Views Step #2 | Service Details,goal,WDG,N/A
FLF: Views Step #3 | Calendar,goal,MRA,Done
FLF: Views Step #3 | Calendar,goal,ASV,Done
FLF: Views Step #3 | Calendar,goal,MDG,Done
FLF: Views Step #3 | Calendar,goal,PDS,Done
FLF: Views Step #3 | Calendar,goal,RBW,Done
FLF: Views Step #3 | Calendar,goal,MLY,To do
FLF: Views Step #3 | Calendar,goal,FSP,Done
FLF: Views Step #3 | Calendar,goal,GUY,To do
FLF: Views Step #3 | Calendar,goal,JUK,To do
FLF: Views Step #3 | Calendar,goal,MOJ,To do
FLF: Views Step #3 | Calendar,goal,MRH,To do
FLF: Views Step #3 | Calendar,goal,MRR,To do
FLF: Views Step #3 | Calendar,goal,MRR-CA,N/A
FLF: Views Step #3 | Calendar,goal,MRE,To do
FLF: Views Step #3 | Calendar,goal,SHG,N/A
FLF: Views Step #3 | Calendar,goal,WDG,N/A
Scrolled 100% - Natl. Homepage,goal,MRA,Done
Scrolled 100% - Natl. Homepage,goal,ASV,Done
Scrolled 100% - Natl. Homepage,goal,MDG,Done
Scrolled 100% - Natl. Homepage,goal,PDS,Done
Scrolled 100% - Natl. Homepage,goal,RBW,Done
Scrolled 100% - Natl. Homepage,goal,MLY,To do
Scrolled 100% - Natl. Homepage,goal,FSP,Done
Scrolled 100% - Natl. Homepage,goal,GUY,To do
Scrolled 100% - Natl. Homepage,goal,JUK,To do
Scrolled 100% - Natl. Homepage,goal,MOJ,To do
Scrolled 100% - Natl. Homepage,goal,MRH,To do
Scrolled 100% - Natl. Homepage,goal,MRR,To do
Scrolled 100% - Natl. Homepage,goal,MRR-CA,N/A
Scrolled 100% - Natl. Homepage,goal,MRE,To do
Scrolled 100% - Natl. Homepage,goal,SHG,N/A
Scrolled 100% - Natl. Homepage,goal,WDG,N/A
Scrolled 75% - Natl. Homepage,goal,MRA,Done
Scrolled 75% - Natl. Homepage,goal,ASV,Done
Scrolled 75% - Natl. Homepage,goal,MDG,Done
Scrolled 75% - Natl. Homepage,goal,PDS,Done
Scrolled 75% - Natl. Homepage,goal,RBW,Done
Scrolled 75% - Natl. Homepage,goal,MLY,To do
Scrolled 75% - Natl. Homepage,goal,FSP,Done
Scrolled 75% - Natl. Homepage,goal,GUY,To do
Scrolled 75% - Natl. Homepage,goal,JUK,To do
Scrolled 75% - Natl. Homepage,goal,MOJ,To do
Scrolled 75% - Natl. Homepage,goal,MRH,To do
Scrolled 75% - Natl. Homepage,goal,MRR,To do
Scrolled 75% - Natl. Homepage,goal,MRR-CA,N/A
Scrolled 75% - Natl. Homepage,goal,MRE,To do
Scrolled 75% - Natl. Homepage,goal,SHG,N/A
Scrolled 75% - Natl. Homepage,goal,WDG,N/A
Scrolled 50% - Natl. Homepage,goal,MRA,Done
Scrolled 50% - Natl. Homepage,goal,ASV,Done
Scrolled 50% - Natl. Homepage,goal,MDG,Done
Scrolled 50% - Natl. Homepage,goal,PDS,Done
Scrolled 50% - Natl. Homepage,goal,RBW,Done
Scrolled 50% - Natl. Homepage,goal,MLY,To do
Scrolled 50% - Natl. Homepage,goal,FSP,Done
Scrolled 50% - Natl. Homepage,goal,GUY,To do
Scrolled 50% - Natl. Homepage,goal,JUK,To do
Scrolled 50% - Natl. Homepage,goal,MOJ,To do
Scrolled 50% - Natl. Homepage,goal,MRH,To do
Scrolled 50% - Natl. Homepage,goal,MRR,To do
Scrolled 50% - Natl. Homepage,goal,MRR-CA,N/A
Scrolled 50% - Natl. Homepage,goal,MRE,To do
Scrolled 50% - Natl. Homepage,goal,SHG,N/A
Scrolled 50% - Natl. Homepage,goal,WDG,N/A
Scrolled 25% - Natl. Homepage,goal,MRA,Done
Scrolled 25% - Natl. Homepage,goal,ASV,Done
Scrolled 25% - Natl. Homepage,goal,MDG,Done
Scrolled 25% - Natl. Homepage,goal,PDS,Done
Scrolled 25% - Natl. Homepage,goal,RBW,Done
Scrolled 25% - Natl. Homepage,goal,MLY,To do
Scrolled 25% - Natl. Homepage,goal,FSP,Done
Scrolled 25% - Natl. Homepage,goal,GUY,To do
Scrolled 25% - Natl. Homepage,goal,JUK,To do
Scrolled 25% - Natl. Homepage,goal,MOJ,To do
Scrolled 25% - Natl. Homepage,goal,MRH,To do
Scrolled 25% - Natl. Homepage,goal,MRR,To do
Scrolled 25% - Natl. Homepage,goal,MRR-CA,N/A
Scrolled 25% - Natl. Homepage,goal,MRE,To do
Scrolled 25% - Natl. Homepage,goal,SHG,N/A
Scrolled 25% - Natl. Homepage,goal,WDG,N/A
Scrolled 100% - Local Homepage,goal,MRA,Done
Scrolled 100% - Local Homepage,goal,ASV,Done
Scrolled 100% - Local Homepage,goal,MDG,Done
Scrolled 100% - Local Homepage,goal,PDS,Done
Scrolled 100% - Local Homepage,goal,RBW,Done
Scrolled 100% - Local Homepage,goal,MLY,To do
Scrolled 100% - Local Homepage,goal,FSP,Done
Scrolled 100% - Local Homepage,goal,GUY,To do
Scrolled 100% - Local Homepage,goal,JUK,To do
Scrolled 100% - Local Homepage,goal,MOJ,To do
Scrolled 100% - Local Homepage,goal,MRH,To do
